Dendrographium interseminatum	Dendrographium interseminatum Subram., J. Indian Bot. Soc. 35 (4): 473 (1956) [MB#296524]	296524	Subram.	1956	Legitimate
Dendrographium kamatii	Dendrographium kamatii V.G. Rao, Curr. Sci. 32 (10): 474 (1963) [MB#329764]	329764	V.G. Rao	1963	Legitimate
Dendrographium lucknowense	Dendrographium lucknowense R.N. Ghosh, N.C. Pathak & M.S. Singh, Norweg. J. Bot. 24 (2): 79 (1977) [MB#312823]	312823	R.N. Ghosh, N.C. Pathak & M.S. Singh	1977	Legitimate
Dendrographium mitteri	Dendrographium mitteri Syd., Ann. Mycol. 31 (1-2): 96 (1933) [MB#271426]	271426	Syd.	1933	Legitimate
Dendrographium multiseptatum	Dendrographium multiseptatum L.G. Ma & J.S. Qi, Mycotaxon 134 (4): 634 (2020) [MB#832847]	832847	L.G. Ma & J.S. Qi	2020	Legitimate
Dennisographium	Dennisographium Rifai, Kew Bull. 31 (3): 726 (1977) [MB#7955]	7955	Rifai	1977	Legitimate
Dennisographium episphaeriae	Dennisographium episphaeriae Rifai, Kew Bull. 31 (3): 726 (1977) [MB#312855]	312855	Rifai	1977	Legitimate
Dennisographium ustulinae	Dennisographium ustulinae (Pat.) Seifert, Stud. Mycol. 27: 209 (1985) [MB#104188]	104188	(Pat.) Seifert	1985	Legitimate
Graphium	Graphium Corda, Icones fungorum hucusque cognitorum 1: 18 (1837) [MB#8398]	8398	Corda	1837	Legitimate
Graphium adansoniae	Graphium adansoniae Cruywagen, Z.W. de Beer & Jol. Roux, Persoonia 25: 67 (2010) [MB#518674]	518674	Cruywagen, Z.W. de Beer & Jol. Roux	2010	Legitimate
Graphium adustum	Graphium adustum Grosmann: 95 (1930) [MB#567635]	567635	Grosmann	1930	Legitimate
Graphium aeruginosum	Stilbum aeruginosum Desm., Ann. Sci. Nat., Bot. 19: 435, t. 18: 1 (1830) [MB#176268]	207203	(Desm.) Sacc.	1886	Legitimate
Graphium ailanthi	Graphium ailanthi (Ranoj. & Bubák) Sacc., Syll. Fung. 22: 1448 (1913) [MB#207367]	207367	(Ranoj. & Bubák) Sacc.	1913	Legitimate
Graphium albiziae	Isaria albiziae Pat. (?) [MB#207351]	102310	(Pat.) Pat.	1903	Legitimate
Graphium albonigrescens	Graphium albonigrescens Lindau, Rabenhorst's Kryptogamen-Flora, Pilze - Fungi imperfecti 1(9): 362 (1908) [MB#214583]	214583	Lindau	1908	Legitimate
Graphium album	Graphium album (Corda) Sacc., Syll. Fung. 4: 618 (1886) [MB#214866]	214866	(Corda) Sacc.	1886	Legitimate
Graphium altissimum	Graphium altissimum Strasser, Verh. Zool.-Bot. Ges. Wien 73: 233 (1924) [MB#214875]	214875	Strasser	1924	Legitimate
