KOME2508-148	0.200604444
KOME2508-149	0.199757778
KOME2508-169	0.202277778
KOME2508-188	0.178591111
KOME2508-191	0.067931111
KOME2508-193	0.183653333
KOME2508-194	0.17884
KOME2508-200	0.171593333
KOME2508-201	0.17604
KOME2508-204	0.175606667
KOME2508-207	0.175904444
KOME2508-211	0.173031111
KOME2508-243	0.190084444
KOME2508-258	0.168631111
KOME2508-262	0.206391111
KOME2508-264	0.222331111
KOME2508-278	0.189097778
KOME2508-285	0.201604444
KOME2508-298	0.189344444
KOME2508-305	0.205144444
KOME2508-321	0.169824444
KOME2508-322	0.164784444
KOME2508-337	0.164111111
KOME2508-354	0.184511111
control	0.205357778
