KOME2508-148	-0.582838254	-0.462012202
KOME2508-148	-0.481293661	-0.538641179
KOME2508-148	-0.282179054	-0.621779165
KOME2508-148	-0.484979949	-0.675899112
KOME2508-148	-0.291830425	-0.711178432
KOME2508-149	-0.83604277	-3.412007561
KOME2508-149	-0.893019258	-2.675553428
KOME2508-149	-1.026416642	-2.642107982
KOME2508-149	-0.886328835	-2.017615656
KOME2508-149	-0.87878562	-2.116454253
KOME2508-169	-0.665463759	-1.709103819
KOME2508-169	-0.35367695	-1.80221511
KOME2508-169	-0.465109684	-1.76375844
KOME2508-169	-0.365267347	-1.829839057
KOME2508-169	-0.331071232	-1.67606046
KOME2508-188	-0.120913785	-5.083625475
KOME2508-188	-0.250095077	-6.554520758
KOME2508-188	-0.518585317	-4.63921458
KOME2508-188	-0.381432429	-5.714981841
KOME2508-188	-0.435758424	-5.34301203
KOME2508-191	0.025312343	-3.707489621
KOME2508-191	-0.145833554	-3.905427723
KOME2508-191	-0.352646804	-3.670963226
KOME2508-191	-0.120985952	-3.583500926
KOME2508-191	-0.12638521	-4.086000113
KOME2508-193	-1.493796182	-3.650750686
KOME2508-193	-0.683599346	-3.304476475
KOME2508-193	-0.914825559	-2.96081106
KOME2508-193	-0.977895003	-3.057776033
KOME2508-193	-1.102799854	-3.159382887
KOME2508-194	-0.40701729	-2.286564598
KOME2508-194	-0.25231872	-1.986759298
KOME2508-194	-0.329282915	-2.074644623
KOME2508-194	-0.419190739	-1.965598324
KOME2508-194	-0.43873937	-1.917063111
KOME2508-200	-0.897024813	-2.345799122
KOME2508-200	-1.031485997	-2.695535686
KOME2508-200	-0.312468049	-3.077869149
KOME2508-200	-0.81732804	-7.539664478
KOME2508-200	-1.071566759	-5.943159029
KOME2508-201	-0.888218147	-2.395587026
KOME2508-201	-0.969867361	-1.944937652
KOME2508-201	-1.01884293	-2.408581
KOME2508-201	-1.169228708	-0.429399121
KOME2508-201	-1.203418857	-1.891252089
KOME2508-204	-0.400800293	-2.057409679
KOME2508-204	-0.483766952	-2.326002242
KOME2508-204	-0.457205095	-1.882640074
KOME2508-204	-0.463234883	-1.853647163
KOME2508-204	-0.453826111	-2.117937667
KOME2508-207	-0.950678713	-2.853782736
KOME2508-207	-1.012207652	-2.707331315
KOME2508-207	-1.036676812	-2.345945806
KOME2508-207	-0.944876552	-2.612319837
KOME2508-207	-1.067857169	-2.470720759
KOME2508-211	-0.808285761	-2.888509236
KOME2508-211	-0.921641566	-3.416965458
KOME2508-211	-0.990655694	-3.919714552
KOME2508-211	-0.865368986	-3.333350285
KOME2508-211	-0.910629311	-3.065654103
KOME2508-243	-0.752305766	-5.582570765
KOME2508-243	-0.766438301	-6.696028475
KOME2508-243	-1.283656983	-6.52318575
KOME2508-243	-1.929209521	-7.389924995
KOME2508-243	-1.690847101	-7.017955448
KOME2508-258	-1.394475324	-6.095163109
KOME2508-258	-0.915345168	-6.304616166
KOME2508-258	-0.81811889	-5.750028042
KOME2508-258	-0.618408738	-5.618118628
KOME2508-258	-1.014983464	-5.796821401
KOME2508-262	-2.99002801	-4.274199872
KOME2508-262	-1.982950385	-4.421203076
KOME2508-262	-1.454446712	-4.775947868
KOME2508-262	-0.343068026	-4.841241085
KOME2508-262	-2.595654886	-4.756923716
KOME2508-264	-0.166884842	-2.149504587
KOME2508-264	-0.189153862	-2.143761639
KOME2508-264	-0.218046123	-0.475139952
KOME2508-264	-0.019511064	-0.474237794
KOME2508-264	-0.032062652	-0.509212198
KOME2508-278	-1.472465193	-3.529320916
KOME2508-278	-1.81763314	-3.598486614
KOME2508-278	-1.361790822	-3.100644914
KOME2508-278	-1.457720155	-3.009762492
KOME2508-278	-1.45911967	-2.873069421
KOME2508-285	-0.251566247	-5.928068225
KOME2508-285	-0.244767147	-5.899307557
KOME2508-285	-0.452988525	-6.147240452
KOME2508-285	-0.430631406	-6.647390791
KOME2508-285	-0.847027453	-6.081147293
KOME2508-298	-1.405447629	-3.372850415
KOME2508-298	-1.41489516	-3.468007478
KOME2508-298	-1.091119474	-3.739310435
KOME2508-298	-1.512966493	-3.548927657
KOME2508-298	-1.061661508	-3.582002244
KOME2508-305	-1.101390729	-2.64585029
KOME2508-305	-0.834449463	-2.473210021
KOME2508-305	-0.73044255	-2.464130184
KOME2508-305	-0.838635974	-2.254977851
KOME2508-305	-0.687904118	-2.518163765
KOME2508-321	-2.115935105	-4.621303724
KOME2508-321	-1.462781475	-5.600546685
KOME2508-321	-1.482427986	-3.979400656
KOME2508-321	-2.226888124	-5.011011012
KOME2508-321	-2.015199228	-5.791226062
KOME2508-322	-0.824589094	-4.388684821
KOME2508-322	-0.884745641	-4.470428093
KOME2508-322	-0.700363798	-4.116508055
KOME2508-322	-1.000253937	-4.31132583
KOME2508-322	-1.474207731	-4.605992564
KOME2508-337	-0.240164108	-2.899092303
KOME2508-337	-0.058303207	-2.418365304
KOME2508-337	-0.114614623	-2.391978069
KOME2508-337	-0.044034077	-2.566715756
KOME2508-337	-0.130245435	-2.283850173
KOME2508-354	-0.093121715	-3.524561441
KOME2508-354	-0.093121715	-3.279633969
KOME2508-354	-0.055526824	-4.503715601
KOME2508-354	-0.097855397	-4.740968369
KOME2508-354	-0.136868733	-4.872211433
control	-0.158347247	-0.094031485
control	-0.286152886	-0.07812194
control	-0.140683986	-1.211133912
control	-0.081752698	-0.022356655
control	-0.073844171	-0.720450257
