control	-0.148156	-0.425219
KOME2508-148	-0.424624	-0.601902
KOME2508-149	-0.904119	-2.572748
KOME2508-169	-0.436118	-1.756195
KOME2508-188	-0.341357	-5.467071
KOME2508-191	-0.144108	-3.790676
KOME2508-193	-1.034583	-3.226639
KOME2508-194	-0.369310	-2.046126
KOME2508-200	-0.825975	-4.320405
KOME2508-201	-1.049915	-1.813951
KOME2508-204	-0.451767	-2.047527
KOME2508-207	-1.002459	-2.598020
KOME2508-211	-0.899316	-3.324839
KOME2508-243	-1.284492	-6.641933
KOME2508-258	-0.952266	-5.912949
KOME2508-262	-1.873230	-4.613903
KOME2508-264	-0.125132	-1.150371
KOME2508-278	-1.513746	-3.222257
KOME2508-285	-0.445396	-6.140631
KOME2508-298	-1.297218	-3.542220
KOME2508-305	-0.838565	-2.471266
KOME2508-321	-1.860646	-5.000698
KOME2508-322	-0.976832	-4.378588
KOME2508-337	-0.117472	-2.512000
KOME2508-354	-0.095299	-4.184218
