KOME2508-148	0.667649	0.725973
KOME2508-148	0.716335	0.688419
KOME2508-148	0.822348	0.649869
KOME2508-148	0.714507	0.625942
KOME2508-148	0.816865	0.610821
KOME2508-149	0.560178	0.0939471
KOME2508-149	0.538486	0.156523
KOME2508-149	0.490928	0.160194
KOME2508-149	0.540989	0.246966
KOME2508-149	0.543825	0.230613
KOME2508-169	0.630486	0.30585
KOME2508-169	0.782587	0.286734
KOME2508-169	0.724416	0.29448
KOME2508-169	0.776325	0.281296
KOME2508-169	0.794946	0.312936
KOME2508-188	0.919605	0.0294901
KOME2508-188	0.840841	0.0106388
KOME2508-188	0.698056	0.0401289
KOME2508-188	0.767675	0.0190379
KOME2508-188	0.739305	0.0246373
KOME2508-191	1.0177	0.0765481
KOME2508-191	0.903857	0.0667343
KOME2508-191	0.783146	0.0785109
KOME2508-191	0.919559	0.0834178
KOME2508-191	0.916124	0.0588832
KOME2508-193	0.355077	0.0796186
KOME2508-193	0.62261	0.101217
KOME2508-193	0.530408	0.128442
KOME2508-193	0.50772	0.120093
KOME2508-193	0.465612	0.111926
KOME2508-194	0.754181	0.204963
KOME2508-194	0.839546	0.252305
KOME2508-194	0.795932	0.237394
KOME2508-194	0.747844	0.256033
KOME2508-194	0.737779	0.264793
KOME2508-200	0.536993	0.196718
KOME2508-200	0.489206	0.15437
KOME2508-200	0.805263	0.118432
KOME2508-200	0.567492	0.00537446
KOME2508-200	0.475802	0.0162529
KOME2508-201	0.540281	0.190045
KOME2508-201	0.510553	0.259726
KOME2508-201	0.493512	0.188341
KOME2508-201	0.444659	0.742571
KOME2508-201	0.434245	0.269573
KOME2508-204	0.757438	0.240247
KOME2508-204	0.715108	0.199436
KOME2508-204	0.728396	0.271187
KOME2508-204	0.725358	0.276692
KOME2508-204	0.730104	0.230376
KOME2508-207	0.517389	0.138333
KOME2508-207	0.495787	0.153113
KOME2508-207	0.487449	0.196698
KOME2508-207	0.519474	0.163536
KOME2508-207	0.477027	0.180401
KOME2508-211	0.57106	0.135043
KOME2508-211	0.527908	0.0936248
KOME2508-211	0.503249	0.0660767
KOME2508-211	0.548906	0.0992114
KOME2508-211	0.531953	0.119439
KOME2508-243	0.593654	0.0208679
KOME2508-243	0.587867	0.00964483
KOME2508-243	0.410753	0.0108724
KOME2508-243	0.262573	0.00596226
KOME2508-243	0.309745	0.00771587
KOME2508-258	0.380383	0.0146276
KOME2508-258	0.530217	0.0126509
KOME2508-258	0.567181	0.018581
KOME2508-258	0.651389	0.02036
KOME2508-258	0.494834	0.017988
KOME2508-262	0.125867	0.0516818
KOME2508-262	0.252972	0.0466751
KOME2508-262	0.364895	0.0365003
KOME2508-262	0.788363	0.0348852
KOME2508-262	0.165436	0.0369848
KOME2508-264	0.890764	0.22539
KOME2508-264	0.87712	0.226289
KOME2508-264	0.859729	0.719397
KOME2508-264	0.986567	0.719847
KOME2508-264	0.978021	0.702606
KOME2508-278	0.360366	0.0866101
KOME2508-278	0.283686	0.0825558
KOME2508-278	0.389099	0.116577
KOME2508-278	0.364068	0.124157
KOME2508-278	0.363715	0.136496
KOME2508-285	0.839984	0.0164238
KOME2508-285	0.843952	0.0167545
KOME2508-285	0.730528	0.014109
KOME2508-285	0.741937	0.00997553
KOME2508-285	0.555929	0.0147704
KOME2508-298	0.377501	0.0965319
KOME2508-298	0.375037	0.0903703
KOME2508-298	0.469397	0.0748782
KOME2508-298	0.35039	0.085441
KOME2508-298	0.47908	0.0835045
KOME2508-305	0.466067	0.159779
KOME2508-305	0.560797	0.18009
KOME2508-305	0.602719	0.181227
KOME2508-305	0.559172	0.2095
KOME2508-305	0.620755	0.174565
KOME2508-321	0.230696	0.0406302
KOME2508-321	0.362793	0.0206095
KOME2508-321	0.357886	0.0633988
KOME2508-321	0.213619	0.0310124
KOME2508-321	0.24738	0.0180579
KOME2508-322	0.564643	0.0477391
KOME2508-322	0.541583	0.0451094
KOME2508-322	0.615417	0.0576511
KOME2508-322	0.499912	0.0503688
KOME2508-322	0.359931	0.0410637
KOME2508-337	0.846649	0.134056
KOME2508-337	0.960393	0.187068
KOME2508-337	0.923629	0.190521
KOME2508-337	0.969939	0.168788
KOME2508-337	0.913676	0.205349
KOME2508-354	0.937492	0.0868963
KOME2508-354	0.937492	0.102975
KOME2508-354	0.962243	0.0440805
KOME2508-354	0.934421	0.0373961
KOME2508-354	0.909491	0.0341443
control	0.896051	0.936901
control	0.820086	0.94729
control	0.907089	0.431929
control	0.944909	0.984623
control	0.950103	0.606908
